member_casual,day_of_week,ride_length
casual,1,1568.380309886281
casual,2,1339.869988140353
casual,3,1191.4713940049471
casual,4,1122.9564701315348
casual,5,1190.292797740704
casual,6,1350.3409921706339
casual,7,1515.4453696904438
member,1,818.5744043704697
member,2,713.1503947096766
member,3,717.1552314188289
member,4,707.077520176169
member,5,713.8178253643632
member,6,736.650070525096
member,7,809.0385675556809
